"Accession","varImp","Primary_function","Description","Biological_Process","Cellular_Component","Molecular_Function"
"P38646",0.00122128946994061,"protein_folding","Stress-70 protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2","cell organization and biogenesis;other metabolic processes;stress response;transport;developmental processes;other biological processes","mitochondrion;nucleus;other cell component","other molecular function"
"Q9Y570",0.00122113957083927,"protein_modification","Protein phosphatase methylesterase 1 OS=Homo sapiens OX=9606 GN=PPME1 PE=1 SV=3","cell cycle OR cell proliferation;protein metabolism;other metabolic processes;other biological processes","nucleus","enzyme regulator activity;other molecular function"
"P25786",0.00122049536394755,"intracellular_proteolysis","Proteasome subunit alpha type-1 OS=Homo sapiens OX=9606 GN=PSMA1 PE=1 SV=1","protein metabolism;other metabolic processes;other biological processes","cytosol;cytoskeleton;nucleus;other cell component","nucleic acid binding activity;other molecular function"
"P04062",0.00121810498570066,"membrane_lipid_metabolism","Lysosomal acid glucosylceramidase OS=Homo sapiens OX=9606 GN=GBA PE=1 SV=3","cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;developmental processes;other biological processes","other membranes;ER/Golgi;other cytoplasmic organelle","signal transduction activity or receptor binding;other molecular function"
"O00571",0.00121289134240077,"further_RNA_metabolism","ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=3","cell-cell signaling;cell organization and biogenesis;protein metabolism;RNA metabolism OR transcription;other metabolic processes;stress response;signal transduction;other biological processes","non-structural extracellular;plasma membrane;other membranes;cytosol;cytoskeleton;nucleus;other cell component","enzyme regulator activity;cytoskeletal activity;translation activity;nucleic acid binding activity;other molecular function"
"Q9NZT1",0.00121151184321085,"cell_differentiation","Calmodulin-like protein 5 OS=Homo sapiens OX=9606 GN=CALML5 PE=1 SV=2","signal transduction;other biological processes","non-structural extracellular;other cell component","enzyme regulator activity;other molecular function"
"P61158",0.00121039812956839,"cell_organization","Actin-related protein 3 OS=Homo sapiens OX=9606 GN=ACTR3 PE=1 SV=3","cell cycle OR cell proliferation;cell organization and biogenesis;stress response;other biological processes","cytosol;cytoskeleton;nucleus;other cell component","cytoskeletal activity;other molecular function"
"Q9BQI6",0.00120789471227446,"DNA_repair","SMC5-SMC6 complex localization factor protein 1 OS=Homo sapiens OX=9606 GN=SLF1 PE=1 SV=2","DNA metabolism;other metabolic processes;stress response;other biological processes","cytoskeleton;nucleus;other cell component","other molecular function"
"E9PHT9",0.00120779173060289,"blood_coagulation_regulation","Annexin OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=1","other biological processes","","other molecular function"
"P28799",0.00120574123077273,"cell_growth_control","Progranulin OS=Homo sapiens OX=9606 GN=GRN PE=1 SV=2","cell organization and biogenesis;transport;developmental processes;signal transduction;other biological processes","non-structural extracellular;plasma membrane;other membranes;ER/Golgi;other cytoplasmic organelle","signal transduction activity or receptor binding;other molecular function"
"Q9NQY0",0.00120425626622516,"cell_division","Bridging integrator 3 OS=Homo sapiens OX=9606 GN=BIN3 PE=1 SV=1","cell cycle OR cell proliferation;cell organization and biogenesis;transport;developmental processes;other biological processes","cytoskeleton;other cell component","other molecular function"
"P04259",0.00119944828705559,"structural_proteins_hair_nail_epidermis","Keratin, type II cytoskeletal 6B OS=Homo sapiens OX=9606 GN=KRT6B PE=1 SV=5","cell organization and biogenesis;other biological processes","cytosol;cytoskeleton","cytoskeletal activity"
"P32119",0.00119850250602821,"oxidative_stress_response","Peroxiredoxin-2 OS=Homo sapiens OX=9606 GN=PRDX2 PE=1 SV=5","cell cycle OR cell proliferation;other metabolic processes;stress response;developmental processes;other biological processes","cytosol;other cell component","other molecular function"
"A0A0J9YWL0",0.00119392078293118,"cell_differentiation","Beta/gamma crystallin domain-containing protein 1 OS=Homo sapiens OX=9606 GN=CRYBG1 PE=1 SV=1","","","other molecular function"
"Q969T9",0.00119067415959042,"transcription","WW domain-binding protein 2 OS=Homo sapiens OX=9606 GN=WBP2 PE=1 SV=1","cell organization and biogenesis;signal transduction;other biological processes","nucleus;other cell component","nucleic acid binding activity;other molecular function"
"Q9BYP9",0.00118716120050284,"structural_proteins_hair_nail_epidermis","Keratin-associated protein 9-9 OS=Homo sapiens OX=9606 GN=KRTAP9-9 PE=2 SV=1","","cytosol;cytoskeleton",""
"Q5W0H4",0.00118255160544826,"cell_growth_control","Translationally-controlled tumor protein OS=Homo sapiens OX=9606 GN=TPT1 PE=1 SV=1","","cytosol",""
"P63104",0.00116734780918602,"intracellular_signalling","14-3-3 protein zeta/delta OS=Homo sapiens OX=9606 GN=YWHAZ PE=1 SV=1","cell organization and biogenesis;protein metabolism;other metabolic processes;transport;developmental processes;signal transduction;other biological processes","cytosol;nucleus;other cell component","other molecular function"
"P23528",0.00116299736945107,"cell_organization","Cofilin-1 OS=Homo sapiens OX=9606 GN=CFL1 PE=1 SV=3","cell cycle OR cell proliferation;cell organization and biogenesis;signal transduction;other biological processes","plasma membrane;other membranes;cytosol;cytoskeleton;nucleus;other cell component","cytoskeletal activity"
"A0A0G2JQH2",0.00115694858099071,"translation","40S ribosomal protein S18 OS=Homo sapiens OX=9606 GN=RPS18 PE=1 SV=1","","",""
"Q6KB66",0.00115420970366732,"structural_proteins_hair_nail_epidermis","Keratin, type II cytoskeletal 80 OS=Homo sapiens OX=9606 GN=KRT80 PE=1 SV=2","","cytosol;cytoskeleton;other cell component",""
"P35232",0.00115093144136877,"cell_growth_control","Prohibitin OS=Homo sapiens OX=9606 GN=PHB PE=1 SV=1","cell organization and biogenesis;protein metabolism;DNA metabolism;other metabolic processes;stress response;signal transduction;other biological processes","plasma membrane;other membranes;mitochondrion;nucleus;other cytoplasmic organelle;other cell component","signal transduction activity or receptor binding;other molecular function"
"Q13885",0.00114315653297324,"cell_organization","Tubulin beta-2A chain OS=Homo sapiens OX=9606 GN=TUBB2A PE=1 SV=1","cell cycle OR cell proliferation;cell organization and biogenesis;developmental processes","cytoskeleton;other cell component","cytoskeletal activity;other molecular function"
"P62699",0.00113538286483949,"cell_proliferation","Protein yippee-like 5 OS=Homo sapiens OX=9606 GN=YPEL5 PE=1 SV=1","cell cycle OR cell proliferation","non-structural extracellular;cytoskeleton;nucleus;other cell component","other molecular function"
"P30154",0.00113140782972027,"cell_growth_control","Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform OS=Homo sapiens OX=9606 GN=PPP2R1B PE=1 SV=3","protein metabolism;other metabolic processes;other biological processes","other membranes;other cell component","enzyme regulator activity"
"H0YL72",0.00112777463822172,"citric_acid_cycle","Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=IDH3A PE=1 SV=1","other metabolic processes","mitochondrion","other molecular function"
"Q6PEX3",0.0011273194820065,"structural_proteins_hair_nail_epidermis","Keratin-associated protein 26-1 OS=Homo sapiens OX=9606 GN=KRTAP26-1 PE=1 SV=1","","cytosol;cytoskeleton",""
"P07814",0.00112224754333854,"tRNA_metabolism","Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens OX=9606 GN=EPRS1 PE=1 SV=5","cell organization and biogenesis;protein metabolism;RNA metabolism OR transcription;other metabolic processes;stress response;other biological processes","plasma membrane;other membranes;cytosol;other cell component","nucleic acid binding activity;other molecular function"
"E5RFU2",0.00112199424916707,"xenobiotics_&_alcohol_metabolism","Bifunctional epoxide hydrolase 2 OS=Homo sapiens OX=9606 GN=EPHX2 PE=1 SV=1","","cytosol","other molecular function"
"A0A0C4DGI3",0.00111038834910794,"citric_acid_cycle","Citrate synthase OS=Homo sapiens OX=9606 GN=CS PE=1 SV=1","other metabolic processes","mitochondrion","other molecular function"
"P05141",0.00110800983715988,"other_transmembrane_transport","ADP/ATP translocase 2 OS=Homo sapiens OX=9606 GN=SLC25A5 PE=1 SV=7","cell organization and biogenesis;other metabolic processes;transport;developmental processes;other biological processes","plasma membrane;other membranes;cytoskeleton;mitochondrion","transporter activity;other molecular function"
"Q13011",0.00110116089976554,"beta_oxidation","Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial OS=Homo sapiens OX=9606 GN=ECH1 PE=1 SV=2","other metabolic processes","cytosol;mitochondrion;other cytoplasmic organelle","other molecular function"
"P01037",0.00110029071150177,"extracellular_proteolysis","Cystatin-SN OS=Homo sapiens OX=9606 GN=CST1 PE=1 SV=3","other biological processes","non-structural extracellular","enzyme regulator activity"
"P84243",0.00109178900479863,"DNA_packaging","Histone H3.3 OS=Homo sapiens OX=9606 GN=H3-3A PE=1 SV=2","cell organization and biogenesis;other biological processes","non-structural extracellular;nucleus;other cell component","nucleic acid binding activity;other molecular function"
"Q9HCY8",0.00109018829055884,"apoptosis_regulation","Protein S100-A14 OS=Homo sapiens OX=9606 GN=S100A14 PE=1 SV=1","stress response;signal transduction;other biological processes","non-structural extracellular;other cell component","signal transduction activity or receptor binding;other molecular function"
"Q9BYR7",0.00108952737419123,"structural_proteins_hair_nail_epidermis","Keratin-associated protein 3-2 OS=Homo sapiens OX=9606 GN=KRTAP3-2 PE=1 SV=1","","cytosol;cytoskeleton","other molecular function"
"Q3ZCW2",0.00108925711703184,"(none/unknown)","Galectin-related protein OS=Homo sapiens OX=9606 GN=LGALSL PE=1 SV=2","","","other molecular function"
"P28838",0.00108292788552829,"intracellular_proteolysis","Cytosol aminopeptidase OS=Homo sapiens OX=9606 GN=LAP3 PE=1 SV=3","protein metabolism","cytosol;ER/Golgi;nucleus;other cell component","other molecular function"
"P31947",0.00108099453756544,"intracellular_signalling","14-3-3 protein sigma OS=Homo sapiens OX=9606 GN=SFN PE=1 SV=1","cell organization and biogenesis;stress response;developmental processes;signal transduction;other biological processes","non-structural extracellular;cytosol;nucleus","enzyme regulator activity;other molecular function"
"D6RHI9",0.00107612937961913,"further_RNA_metabolism","Ribonuclease T2 (Fragment) OS=Homo sapiens OX=9606 GN=RNASET2 PE=1 SV=8","RNA metabolism OR transcription;other metabolic processes","other cytoplasmic organelle","nucleic acid binding activity;other molecular function"
"P07099",0.00107253079947805,"xenobiotics_&_alcohol_metabolism","Epoxide hydrolase 1 OS=Homo sapiens OX=9606 GN=EPHX1 PE=1 SV=1","other metabolic processes;other biological processes","other membranes;ER/Golgi","other molecular function"
"P46783",0.00106107960745099,"translation","40S ribosomal protein S10 OS=Homo sapiens OX=9606 GN=RPS10 PE=1 SV=1","protein metabolism;other metabolic processes","cytosol;translational apparatus;nucleus","other molecular function"
"H9KV75",0.00105660922493348,"cell_organization","Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=1","","","cytoskeletal activity;other molecular function"
"B4DKY1",0.00105490522750479,"tRNA_metabolism","Cysteine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=CARS1 PE=1 SV=1","protein metabolism;RNA metabolism OR transcription;other metabolic processes","cytosol","other molecular function"
"U3KQT1",0.0010482132964934,"glutathione_metabolism","Esterase D/formylglutathione hydrolase, isoform CRA_c OS=Homo sapiens OX=9606 GN=ESD PE=1 SV=2","other metabolic processes","other cell component","other molecular function"
"Q8IUB9",0.00104568528912354,"structural_proteins_hair_nail_epidermis","Keratin-associated protein 19-1 OS=Homo sapiens OX=9606 GN=KRTAP19-1 PE=1 SV=2","","cytosol;cytoskeleton",""
"H0YK49",0.00103636175519051,"beta_oxidation","Electron transfer flavoprotein subunit alpha OS=Homo sapiens OX=9606 GN=ETFA PE=1 SV=1","other metabolic processes","mitochondrion","other molecular function"
"P42765",0.00103266183718255,"beta_oxidation","3-ketoacyl-CoA thiolase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAA2 PE=1 SV=2","cell organization and biogenesis;other metabolic processes;stress response;transport","mitochondrion","other molecular function"
"Q9BYR5",0.0010323831594673,"structural_proteins_hair_nail_epidermis","Keratin-associated protein 4-2 OS=Homo sapiens OX=9606 GN=KRTAP4-2 PE=1 SV=2","","cytosol;cytoskeleton","other molecular function"
"O14734",0.00102401496297944,"beta_oxidation","Acyl-coenzyme A thioesterase 8 OS=Homo sapiens OX=9606 GN=ACOT8 PE=1 SV=1","cell organization and biogenesis;other metabolic processes;other biological processes","cytosol;other cytoplasmic organelle","other molecular function"
"Q9NSB4",0.00101788605505522,"structural_proteins_hair_nail_epidermis","Keratin, type II cuticular Hb2 OS=Homo sapiens OX=9606 GN=KRT82 PE=1 SV=3","","cytosol;cytoskeleton","bone, tooth or skin structural activity"
"Q15067",0.00100776170426566,"beta_oxidation","Peroxisomal acyl-coenzyme A oxidase 1 OS=Homo sapiens OX=9606 GN=ACOX1 PE=1 SV=3","cell organization and biogenesis;other metabolic processes;other biological processes","other membranes;cytosol;other cytoplasmic organelle","other molecular function"
"P51788",0.00100595352517271,"ion_transmembrane_transport","Chloride channel protein 2 OS=Homo sapiens OX=9606 GN=CLCN2 PE=1 SV=2","transport;developmental processes;other biological processes","plasma membrane;other membranes","transporter activity"
"P48147",0.00100479746271378,"intracellular_proteolysis","Prolyl endopeptidase OS=Homo sapiens OX=9606 GN=PREP PE=1 SV=2","protein metabolism","cytosol;nucleus;other cell component","other molecular function"
"P17643",0.00100100705918361,"melanin_metabolism","5,6-dihydroxyindole-2-carboxylic acid oxidase OS=Homo sapiens OX=9606 GN=TYRP1 PE=1 SV=2","cell organization and biogenesis;other metabolic processes;other biological processes","other membranes;other cytoplasmic organelle;other cell component","other molecular function"
"O75367",0.000999678895996801,"DNA_packaging","Core histone macro-H2A.1 OS=Homo sapiens OX=9606 GN=MACROH2A1 PE=1 SV=4","cell organization and biogenesis;other biological processes","nucleus;other cell component","enzyme regulator activity;nucleic acid binding activity;other molecular function"
"Q14134",0.000998184739229955,"innate_immune_system","Tripartite motif-containing protein 29 OS=Homo sapiens OX=9606 GN=TRIM29 PE=1 SV=2","stress response;other biological processes","other cytoplasmic organelle","other molecular function"
"Q13867",0.000990970123719561,"xenobiotics_&_alcohol_metabolism","Bleomycin hydrolase OS=Homo sapiens OX=9606 GN=BLMH PE=1 SV=1","protein metabolism;other metabolic processes;other biological processes","cytosol;other cell component","other molecular function"
"P62714",0.000990741939945936,"cell_growth_control","Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform OS=Homo sapiens OX=9606 GN=PPP2CB PE=1 SV=1","cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;other biological processes","cytosol;cytoskeleton;nucleus;other cell component","cytoskeletal activity;other molecular function"
"A0A087WTT1",0.000987058902295705,"translation","Polyadenylate-binding protein OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=1","","cytosol;nucleus;other cell component","nucleic acid binding activity"
"P08729",0.000985807163137149,"structural_proteins_hair_nail_epidermis","Keratin, type II cytoskeletal 7 OS=Homo sapiens OX=9606 GN=KRT7 PE=1 SV=5","","cytosol;cytoskeleton;other cell component",""
"P18669",0.000985355659771799,"glycolysis","Phosphoglycerate mutase 1 OS=Homo sapiens OX=9606 GN=PGAM1 PE=1 SV=2","other metabolic processes;other biological processes","non-structural extracellular;cytosol;other cell component","other molecular function"
"O43396",0.000981494487935838,"oxidative_stress_response","Thioredoxin-like protein 1 OS=Homo sapiens OX=9606 GN=TXNL1 PE=1 SV=3","","cytosol;nucleus;other cell component","other molecular function"
"U3KPX3",0.00098100954220766,"protein_modification","Casein kinase I isoform alpha OS=Homo sapiens OX=9606 GN=CSNK1A1 PE=1 SV=2","protein metabolism;other metabolic processes","cytosol","kinase activity;other molecular function"
"A0A0D9SF54",0.000980272014746417,"cell_organization","Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=1","cell organization and biogenesis","cytoskeleton;other cell component","cytoskeletal activity;other molecular function"
"Q9BYQ6",0.000976860995312459,"structural_proteins_hair_nail_epidermis","Keratin-associated protein 4-11 OS=Homo sapiens OX=9606 GN=KRTAP4-11 PE=1 SV=2","","cytosol;cytoskeleton",""
"P14923",0.000975888089380833,"cell_adhesion_&_contact","Junction plakoglobin OS=Homo sapiens OX=9606 GN=JUP PE=1 SV=3","cell adhesion;cell organization and biogenesis;developmental processes;other biological processes","non-structural extracellular;plasma membrane;other membranes;cytosol;cytoskeleton;nucleus;other cell component","other molecular function"
"Q9BYQ8",0.000967450674534667,"structural_proteins_hair_nail_epidermis","Keratin-associated protein 4-9 OS=Homo sapiens OX=9606 GN=KRTAP4-9 PE=2 SV=2","other biological processes","cytosol;cytoskeleton",""
"P00441",0.000967033656287375,"oxidative_stress_response","Superoxide dismutase [Cu-Zn] OS=Homo sapiens OX=9606 GN=SOD1 PE=1 SV=2","cell organization and biogenesis;other metabolic processes;stress response;transport;developmental processes;other biological processes","non-structural extracellular;cytosol;mitochondrion;nucleus;other cytoplasmic organelle;other cell component","other molecular function"
"Q13618",0.00096669380503232,"intracellular_proteolysis","Cullin-3 OS=Homo sapiens OX=9606 GN=CUL3 PE=1 SV=2","cell-cell signaling;cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;transport;developmental processes;signal transduction;other biological processes","plasma membrane;other membranes;cytosol;cytoskeleton;ER/Golgi;nucleus;other cell component","signal transduction activity or receptor binding;other molecular function"
"Q9ULW8",0.000966173552220328,"protein_modification","Protein-arginine deiminase type-3 OS=Homo sapiens OX=9606 GN=PADI3 PE=1 SV=2","protein metabolism;other metabolic processes","cytosol;nucleus;other cell component","other molecular function"
"Q5VTU8",0.000965116075119896,"oxidative_phosphorylation","ATP synthase subunit epsilon-like protein, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1EP2 PE=1 SV=1","other metabolic processes;transport","other membranes;mitochondrion","transporter activity;other molecular function"
"P08574",0.000963404332171577,"oxidative_phosphorylation","Cytochrome c1, heme protein, mitochondrial OS=Homo sapiens OX=9606 GN=CYC1 PE=1 SV=3","other metabolic processes;transport;other biological processes","other membranes;mitochondrion","transporter activity;other molecular function"
"P40926",0.000962970992754908,"citric_acid_cycle","Malate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=MDH2 PE=1 SV=3","other metabolic processes","other membranes;mitochondrion;other cell component","other molecular function"
"Q9BYR0",0.000961122926926438,"structural_proteins_hair_nail_epidermis","Keratin-associated protein 4-7 OS=Homo sapiens OX=9606 GN=KRTAP4-7 PE=1 SV=2","other biological processes","cytosol;cytoskeleton",""
"Q9UNN8",0.000954183950929547,"blood_coagulation_regulation","Endothelial protein C receptor OS=Homo sapiens OX=9606 GN=PROCR PE=1 SV=1","stress response;other biological processes","non-structural extracellular;plasma membrane;other membranes;cytoskeleton;other cell component","other molecular function"
"P49755",0.000944677319120762,"intracellular_transport","Transmembrane emp24 domain-containing protein 10 OS=Homo sapiens OX=9606 GN=TMED10 PE=1 SV=2","cell organization and biogenesis;transport;developmental processes;other biological processes","plasma membrane;other membranes;ER/Golgi;other cell component","transporter activity;other molecular function"
"Q9BYQ5",0.000943958737454434,"structural_proteins_hair_nail_epidermis","Keratin-associated protein 4-6 OS=Homo sapiens OX=9606 GN=KRTAP4-6 PE=2 SV=4","","cytosol;cytoskeleton",""
"P29692",0.000942386941023091,"translation","Elongation factor 1-delta OS=Homo sapiens OX=9606 GN=EEF1D PE=1 SV=5","protein metabolism;RNA metabolism OR transcription;other metabolic processes;other biological processes","cytosol;nucleus;other cell component","enzyme regulator activity;nucleic acid binding activity;other molecular function"
"P30101",0.000941361927886912,"protein_folding","Protein disulfide-isomerase A3 OS=Homo sapiens OX=9606 GN=PDIA3 PE=1 SV=4","protein metabolism;stress response;other biological processes","non-structural extracellular;other membranes;ER/Golgi;other cytoplasmic organelle;other cell component","other molecular function"
"F8VQZ7",0.000938187210123056,"protein_modification","Methionine aminopeptidase 2 OS=Homo sapiens OX=9606 GN=METAP2 PE=1 SV=1","protein metabolism;other metabolic processes","plasma membrane;other membranes;cytosol","other molecular function"
"A0A087X1Z2",0.000936203553460341,"calcium_ion_binding","EF-hand domain-containing protein D1 OS=Homo sapiens OX=9606 GN=EFHD1 PE=1 SV=1","","","other molecular function"
"F6X9W3",0.000935222950526468,"apoptosis_regulation","Large proline-rich protein BAG6 (Fragment) OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1","","",""
"P22307",0.000933543368172764,"intracellular_transport","Non-specific lipid-transfer protein OS=Homo sapiens OX=9606 GN=SCP2 PE=1 SV=2","cell organization and biogenesis;other metabolic processes;transport;other biological processes","cytosol;mitochondrion;ER/Golgi;nucleus;other cytoplasmic organelle;other cell component","signal transduction activity or receptor binding;transporter activity;other molecular function"
"P55084",0.000930690039312681,"beta_oxidation","Trifunctional enzyme subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=HADHB PE=1 SV=3","other metabolic processes","other membranes;mitochondrion;ER/Golgi","other molecular function"
"Q3LI64",0.000929693982887204,"structural_proteins_hair_nail_epidermis","Keratin-associated protein 6-1 OS=Homo sapiens OX=9606 GN=KRTAP6-1 PE=1 SV=1","developmental processes","cytoskeleton",""
"Q6A163",0.000929549558551163,"structural_proteins_hair_nail_epidermis","Keratin, type I cytoskeletal 39 OS=Homo sapiens OX=9606 GN=KRT39 PE=1 SV=2","","cytosol;cytoskeleton","other molecular function"
"A0A140T8Y9",0.000918756524503471,"intracellular_proteolysis","RING finger protein 39 OS=Homo sapiens OX=9606 GN=RNF39 PE=1 SV=1","","","other molecular function"
"B7Z6Z4",0.000915813029692314,"cell_organization","Myosin light polypeptide 6 OS=Homo sapiens OX=9606 GN=MYL6 PE=1 SV=1","","","other molecular function"
"F5GZS6",0.000915194842331069,"other_transmembrane_transport","4F2 cell-surface antigen heavy chain OS=Homo sapiens OX=9606 GN=SLC3A2 PE=1 SV=1","other metabolic processes;transport","plasma membrane;other membranes;nucleus","other molecular function"
"H0YKD8",0.000914003818910464,"translation","60S ribosomal protein L28 OS=Homo sapiens OX=9606 GN=RPL28 PE=1 SV=1","protein metabolism;other metabolic processes","translational apparatus","other molecular function"
"O76038",0.000911780819092844,"calcium_ion_binding","Secretagogin OS=Homo sapiens OX=9606 GN=SCGN PE=1 SV=2","other biological processes","non-structural extracellular;other membranes;cytosol;ER/Golgi;nucleus;other cell component","other molecular function"
"P07919",0.000910604090205454,"oxidative_phosphorylation","Cytochrome b-c1 complex subunit 6, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRH PE=1 SV=2","other metabolic processes;transport","other membranes;mitochondrion","transporter activity"
"A0A0G2JLE6",0.000910168500573786,"structural_proteins_hair_nail_epidermis","HCG2042992 OS=Homo sapiens OX=9606 GN=KRTAP4-8 PE=1 SV=1","","cytoskeleton",""
"P00338",0.000908647191505275,"anaerobic_respiration","L-lactate dehydrogenase A chain OS=Homo sapiens OX=9606 GN=LDHA PE=1 SV=2","other metabolic processes;stress response;developmental processes;other biological processes","cytosol","other molecular function"
"P45880",0.000908002309755779,"other_transmembrane_transport","Voltage-dependent anion-selective channel protein 2 OS=Homo sapiens OX=9606 GN=VDAC2 PE=1 SV=2","cell organization and biogenesis;transport;signal transduction;other biological processes","other membranes;mitochondrion;ER/Golgi;other cell component","transporter activity;other molecular function"
"B9A041",0.000897123422321929,"citric_acid_cycle","Malate dehydrogenase, cytoplasmic OS=Homo sapiens OX=9606 GN=MDH1 PE=1 SV=1","other metabolic processes","","other molecular function"
"O14773",0.000893552441264817,"intracellular_proteolysis","Tripeptidyl-peptidase 1 OS=Homo sapiens OX=9606 GN=TPP1 PE=1 SV=2","cell organization and biogenesis;protein metabolism;other metabolic processes;developmental processes;other biological processes","other membranes;ER/Golgi;other cytoplasmic organelle;other cell component","other molecular function"
"Q52LG2",0.000890620642594241,"structural_proteins_hair_nail_epidermis","Keratin-associated protein 13-2 OS=Homo sapiens OX=9606 GN=KRTAP13-2 PE=1 SV=1","","cytosol;cytoskeleton",""
"Q15323",0.000890331460545916,"structural_proteins_hair_nail_epidermis","Keratin, type I cuticular Ha1 OS=Homo sapiens OX=9606 GN=KRT31 PE=1 SV=3","cell organization and biogenesis;other biological processes","cytosol;cytoskeleton","cytoskeletal activity"
"P15924",0.000889662528222658,"cell_adhesion_&_contact","Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3","cell adhesion;cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;developmental processes;other biological processes","plasma membrane;other membranes;cytoskeleton;other cell component","cytoskeletal activity;other molecular function"
"P41091",0.000886364331882534,"translation","Eukaryotic translation initiation factor 2 subunit 3 OS=Homo sapiens OX=9606 GN=EIF2S3 PE=1 SV=3","cell organization and biogenesis;protein metabolism;other metabolic processes;other biological processes","cytosol;other cell component","nucleic acid binding activity;other molecular function"
"A0A096LP22",0.000881709966622046,"translation","Probable peptidyl-tRNA hydrolase (Fragment) OS=Homo sapiens OX=9606 GN=PTRH1 PE=1 SV=1","","","other molecular function"
"P62820",0.000879088795025582,"intracellular_transport","Ras-related protein Rab-1A OS=Homo sapiens OX=9606 GN=RAB1A PE=1 SV=3","cell adhesion;cell-cell signaling;cell organization and biogenesis;other metabolic processes;stress response;transport;other biological processes","other membranes;cytosol;ER/Golgi;other cytoplasmic organelle;other cell component","other molecular function"
"P60014",0.000878798367905161,"structural_proteins_hair_nail_epidermis","Keratin-associated protein 10-10 OS=Homo sapiens OX=9606 GN=KRTAP10-10 PE=1 SV=1","","cytosol;cytoskeleton",""
"P55072",0.000878230949335677,"protein_quality_control","Transitional endoplasmic reticulum ATPase OS=Homo sapiens OX=9606 GN=VCP PE=1 SV=4","cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;DNA metabolism;other metabolic processes;stress response;transport;signal transduction;other biological processes","non-structural extracellular;other membranes;cytosol;ER/Golgi;nucleus;other cytoplasmic organelle;other cell component","signal transduction activity or receptor binding;enzyme regulator activity;other molecular function"
"F5H800",0.00087723202784416,"transcription","Myeloid leukemia factor 2 (Fragment) OS=Homo sapiens OX=9606 GN=MLF2 PE=1 SV=1","","other cell component",""
"P51659",0.00087268600932985,"beta_oxidation","Peroxisomal multifunctional enzyme type 2 OS=Homo sapiens OX=9606 GN=HSD17B4 PE=1 SV=3","other metabolic processes;developmental processes","cytosol;other cytoplasmic organelle","other molecular function"
"B4DQH6",0.000869049198818333,"ECM_organization","Thrombospondin-3 OS=Homo sapiens OX=9606 GN=THBS3 PE=1 SV=1","","non-structural extracellular","other molecular function"
"Q96B49",0.00086805706823837,"other_transmembrane_transport","Mitochondrial import receptor subunit TOM6 homolog OS=Homo sapiens OX=9606 GN=TOMM6 PE=1 SV=1","transport","other membranes;mitochondrion",""
"Q8N1F7",0.000865521285164404,"nuclear_transport","Nuclear pore complex protein Nup93 OS=Homo sapiens OX=9606 GN=NUP93 PE=1 SV=2","cell organization and biogenesis;other metabolic processes;transport;signal transduction;other biological processes","other membranes;cytosol;cytoskeleton;nucleus","other molecular function"
"Q13835",0.000862823120459088,"cell_adhesion_&_contact","Plakophilin-1 OS=Homo sapiens OX=9606 GN=PKP1 PE=1 SV=2","cell adhesion;cell organization and biogenesis;signal transduction;other biological processes","plasma membrane;other membranes;cytoskeleton;nucleus;other cell component","bone, tooth or skin structural activity;other molecular function"
"F5H365",0.000858140275282051,"intracellular_transport","Protein transport protein SEC23 OS=Homo sapiens OX=9606 GN=SEC23A PE=1 SV=1","cell organization and biogenesis;transport","other membranes;cytosol;ER/Golgi","other molecular function"
"Q9NSB2",0.000854541905502947,"structural_proteins_hair_nail_epidermis","Keratin, type II cuticular Hb4 OS=Homo sapiens OX=9606 GN=KRT84 PE=2 SV=2","cell organization and biogenesis;developmental processes;other biological processes","cytosol;cytoskeleton","bone, tooth or skin structural activity;cytoskeletal activity"
